ObjectID,GlobalID,Observer Name,Survey Season,Site,Date,Start Time,Stop Time,# Males,# Females,# Unknown Sex,# Juveniles,Total Number of Western Snowy Plovers Observed,Behavior,Other,Number of nests (if applicable),Band Combinations,Comments,"For the two geopoint questions below, collect your starting location for the first question and ending location for the second question.",locRepeat_count,CreationDate,Creator,EditDate,Editor,x,y
14,56d0fdc5-2eeb-446c-852d-2e2813eaadcf,"C Sundstrom, W Michaelis",winter,ocean_shores_to_ocean_city_oute,1/20/2021 8:00:00 PM,08:20,09:37,0,0,0,0,0,,,,,No snowy plovers found,,2,1/22/2021 6:33:39 PM,,1/22/2021 6:33:39 PM,,0,0
15,6cd08148-e36d-4825-8f8d-b3df18172715,"C Sundstrom, W Michaelis",winter,connor_creek,1/20/2021 8:00:00 PM,09:44,10:45,0,0,0,0,0,,,,,No plovers observed,,2,1/22/2021 6:36:43 PM,,1/22/2021 6:36:43 PM,,0,0
16,5cf4d6b8-ac36-48e8-8330-22e2c3061c28,"C Sundstrom, Joseph Fernandez (Wa State Parks)",winter,copalis_spit,1/20/2021 8:00:00 PM,11:15,11:32,0,0,0,0,0,,,,,No plovers observed,,2,1/22/2021 6:40:20 PM,,1/22/2021 6:40:20 PM,,0,0
17,2e0771be-b601-40f0-888f-7548506abc46,C Sundstrom,winter,damon_point_oyhut,1/20/2021 8:00:00 PM,12:30,15:14,0,0,0,0,0,,,,,"No plovers observed.  Physically unable to survey Damon Point and will likely not be including this area in future surveys, both winter and breeding.",,2,1/22/2021 6:45:36 PM,,1/22/2021 6:45:36 PM,,0,0
18,7f4af755-a9b3-4e1a-839b-62aaa8388504,C. Strong,winter,salishan_spit,1/22/2021 8:00:00 PM,13:00,13:47,0,0,0,0,0,,,,,Little beach available. Covered with very large woody debris. ,,2,1/22/2021 9:45:29 PM,,1/22/2021 9:45:29 PM,,0,0
19,023c4eeb-6d37-4987-87a1-2ed047966118,D.Rocco,winter,whiskey_run_to_coquille_river,1/22/2021 8:00:00 PM,11:45,14:00,3,2,1,0,6,flying,,,"1. Y-Left, Right-R/Y
2.B-Left, Right- G/B
3.G/B-Left, Right-Y/W
4. One legged No bands
5. One legged No bands
6. No Bands ",,,2,1/22/2021 11:16:24 PM,,1/22/2021 11:16:24 PM,,0,0
20,015c8db8-9b9e-4698-8a50-f10114d2d52a,H. Renn,winter,sand_lake_spits_sitka_sedge_usf,1/20/2021 8:00:00 PM,09:30,14:45,7,25,0,0,32,walking,,,"OYO:W 
X:X
WL:O
WB:B
X:X
A:V
BW:Y
X:X
X:X
X:X
BRB:Y
X:X
RO:O
X:X
LVL:K
GV:K
X:X
X:X
BL:YR
RL:W
X:X
WL:V
PB:B
LRL:N
X:X
WAW:K
Y:K
GB:K
X:X
X:X
X:X
X:X
","At Sitka, From spit opening south to beach access 34A, dune is now a 6-10 foot sand wall. Estuary mouth is moving south, all dunes at spit opening are now gone and only a small portion of one remains. No signage was seen in area. I counted 4 cars driving erratically around in the SPMA. Did not find any plovers at sitka, only found one track. 

At Sandlake, all plovers were in 5 loose groups, either foraging or roosting. Conditions were partly sunny, 58, and no wind. Significant acreage of suitable habitat has been added to the southern end of the fishermen's day use/ pedestrian only beach area. A lot of seaweed and detritus on sand. Conditions seem good for breeding habitat, flat, out of high tide zone, with a free-flowing structure. I encountered 5 people in area. In summer visitor use is much heavier. ",,2,1/25/2021 2:26:00 AM,hrenn_usfs,1/25/2021 2:26:00 AM,hrenn_usfs,0,0
21,a4c5a6a9-0e5c-4c35-8a02-679c46215b2f,C. Burns,winter,siuslaw_river_south_jetty_to_si,1/21/2021 8:00:00 PM,09:45,12:50,0,0,17,0,17,walking,,,"3 birds with no bands
V:G
Fed band:Y
A/W:V
WGW:W
W:?
Y:B
LBL:K
","Assisted by Courtney Gabriel, USFS",,2,1/25/2021 8:32:02 PM,,1/25/2021 8:32:02 PM,,0,0
22,91da170f-d3ed-4e04-864b-71684c68a0d3,M Szumski,winter,nestucca_spit,1/19/2021 8:00:00 PM,13:15,14:45,0,0,0,0,0,,,,,,,2,1/25/2021 11:09:15 PM,,1/25/2021 11:09:15 PM,,0,0
23,7a7e46c1-1217-47b5-84b3-c039886f71dd,"P. Schmidt, V. Loverti",winter,fort_stevens_state_park_clatsop,1/22/2021 8:00:00 PM,11:55,14:15,0,0,42,0,42,walking,,,We observed four bands but did not get color combo because they were hunched down.,"BAEA=13
CORA=9, around a seal carcass 
People =6
Vehicle=3

Plover were spread out over a 200 yard area in the dry sand.
",,2,1/26/2021 6:45:59 PM,,1/26/2021 6:45:59 PM,,0,0
24,785ad6cb-4c1e-47c5-8901-5a7a010b0c88,W. Ritchie,winter,benson_beach,1/24/2021 8:00:00 PM,13:20,14:36,0,0,0,0,0,,,,,,,2,1/26/2021 9:37:21 PM,,1/26/2021 9:37:21 PM,,0,0
25,fad317e4-e6b6-4cfb-8739-61563b4876d5,W. Ritchie,winter,south_long_beach,1/22/2021 8:00:00 PM,10:30,13:43,0,0,1,3,4,flying,,,O/B/O:Y,,,2,1/26/2021 9:55:48 PM,william_ritchie@fws.gov_fws,1/26/2021 9:55:48 PM,william_ritchie@fws.gov_fws,0,0
26,45f1521a-94b8-445a-8bcb-11f55f0177c0,W. Ritchie,winter,leadbetter_point,1/23/2021 8:00:00 PM,12:15,16:25,9,3,98,1,111,flying,,,"O/B:Y, S:K, Y/B:K, R/V:K, R/W/R:Y, R/B/R:Y, W/B:Y, O/W:K, V/W/V:Y, Y/R/Y:Y, B/V:Y, A/W:B,
Y/O:Y, Y/W/Y:Y, R/B:Y, Y/O:G, RV:BW, G/O:K, R/Y:B, G/A:K, L/G:K, Y/O:R, W/B:O, Y:G, O/G:R, V/R/V:O",,,2,1/26/2021 11:00:24 PM,william_ritchie@fws.gov_fws,1/26/2021 11:00:24 PM,william_ritchie@fws.gov_fws,0,0
27,dfaf1edc-d35e-4fd1-87f3-a33e98abed0c,J. Everett & M. Everett,winter,necanicum_spit_oprd_city_of_gea,1/25/2021 8:00:00 PM,11:29,13:00,0,0,0,0,0,,,,,Surveyed during a break in the weather. Very few birds overall; 1 raven; 3 bald eagles. 1 dog off leash; only about 10 people. Gearhart Police sitting at the north end of the survey route on the beach where the driving access is - first time in nearly years I've seen them there. Lots of wind/wave damage from winter storms with sand well up on the foredune.  Lots of storm debris with the wrack line way up against the foredune.,,2,1/27/2021 12:53:45 AM,,1/27/2021 12:53:45 AM,,0,0
28,9b75d99b-4604-4207-87c9-886e70fcb378,D Lauten/K Castelein,winter,new_river_to_floras_lake,1/18/2021 8:00:00 PM,13:31,14:10,0,0,0,0,0,,,,,No plovers from the breach at Croft Lake to Floras Lake,,2,1/27/2021 10:52:44 PM,,1/27/2021 10:52:44 PM,,0,0
29,58a614f1-84ce-41a7-8b15-e4ae0319b0a8,D Lauten/K Castelein,winter,choice_103,1/19/2021 8:00:00 PM,08:36,10:50,22,19,62,0,103,walking,,,,"0 on Bandon Beach side, 81 head count on New River spit did not ID all of them before some flew off; 22 along private land",,2,1/27/2021 11:05:24 PM,,1/27/2021 11:05:24 PM,,0,0
30,9121b578-577c-4d0d-8ad9-f361baf8a92a,D Lauten/K Castelein,winter,coos_bay_north_spit,1/19/2021 8:00:00 PM,12:53,15:07,18,12,21,0,51,walking,,,,"51 plovers scattered on nesting area, mostly 94HRA",,2,1/27/2021 11:25:34 PM,,1/27/2021 11:25:34 PM,,0,0
31,3fb4e159-10fc-458e-8e79-5fe725fbd1b5,D LAuten/K Castelein,winter,tenmile_spits,1/20/2021 8:00:00 PM,10:24,12:36,8,5,23,0,36,walking,,,,"36 plovers on the north spit, some flew to south side where three were relocated",,2,1/27/2021 11:43:17 PM,,1/27/2021 11:43:17 PM,,0,0
32,4f22e7b4-6744-40a3-8712-ac9795d05d94,D Lauten/K Castelein,winter,umpqua_river_south_jetty_to_ten,1/20/2021 8:00:00 PM,09:40,10:24,1,2,4,0,7,walking,,,,7 plovers near the South Umpqua parking lot 2 and 3 area,,2,1/27/2021 11:46:26 PM,,1/27/2021 11:46:26 PM,,0,0
33,bfcc388d-eaff-4e0e-80ca-c11fff8d961d,D Lauten/K Castelein,winter,tahkenitch_spit_north_and_south,1/21/2021 8:00:00 PM,10:11,10:58,11,9,15,0,35,walking,,,,"35 plovers on N Tahkenitch spit - S Tahkenitch surveyed by Cindy Burns I believe; some plovers were roosting, others were feeding near water",,2,1/28/2021 6:59:53 PM,,1/28/2021 6:59:53 PM,,0,0
34,01fa2926-9f50-458a-8d56-0c7c90a3e01e,D Lauten/K Castelein,winter,siltcoos_tahkenitch_dunes_overl,1/21/2021 8:00:00 PM,10:58,12:13,6,6,8,0,20,walking,,,,"8 plovers in S Overlook area, 2 plovers at N Overlook",,2,1/28/2021 7:03:57 PM,,1/28/2021 7:03:57 PM,,0,0
35,88c4f17c-7c8c-4b77-81d0-16ce77d0d666,D Lauten/K Castelein,winter,siltcoos_spits_north_and_south,1/21/2021 8:00:00 PM,12:13,13:41,7,5,25,0,37,flying,,,,"29 plovers on S Siltcoos, 8 on N Siltcoos, some roosting, some feeding by water",,2,1/28/2021 7:09:01 PM,,1/28/2021 7:09:01 PM,,0,0
36,2550d431-2d34-4f26-80ed-8d16721641fc,D Lauten/K Castelein,winter,baker_beach_to_sutton_creek_sut,1/22/2021 8:00:00 PM,10:23,12:15,8,5,7,0,20,walking,,,,"3 near HRA, the remaining north along beach",,2,1/28/2021 7:12:26 PM,,1/28/2021 7:12:26 PM,,0,0
37,4e2a9e54-54bc-445e-81ad-c75611cf4be9,C Waddell,winter,bayocean_spit,1/23/2021 8:00:00 PM,13:40,15:44,0,0,0,0,0,,,,N/A,"Survey was split with Eleanor Gaines. Eleanor did the North end of the spit, while I did the south end.

1. Suspected Plover tracks observed (45.510672, -123.956483). Eleanor Gaines suspects they are plover tracks. Dave Lauten can't tell and says they could be plover or Western/Least Sanderling. two photos were taken of the tracks.

2. Bald eagle (HALE) observed flying overhead (45.526926, -123.953321)

General: Lots of families and dogs at the beach and the tide was on it's way out. Observed possible plover tracks along the way, but no birds were seen. It seems like the North end of the spit could have better plover habitat since there are less people up there.
",,2,2/1/2021 8:20:39 PM,,2/1/2021 8:20:39 PM,,0,0
38,58ae631e-724d-4c15-8756-eddbe3cbf2ad,S.Holzman,winter,south_beach_newport,1/20/2021 8:00:00 PM,15:00,15:45,0,0,0,0,0,,,,,Birds that frequent this area were reported north of the jetty this year,,2,2/1/2021 10:22:11 PM,,2/1/2021 10:22:11 PM,,0,0
39,17f929b8-c542-48b5-8290-dd00bcdfec56,S. Reed,winter,myers_creek_to_pistol_river,1/18/2021 8:00:00 PM,08:10,08:44,0,0,0,0,0,,,,,"Entered by CStrong, 2.1.2021",,2,2/1/2021 11:11:19 PM,,2/1/2021 11:11:19 PM,,0,0
40,e514f80e-156d-420e-8b5a-894bde4b2ad7,M.Zwartjes,winter,netarts_spit,1/18/2021 8:00:00 PM,13:00,15:30,0,0,0,0,0,,,,,"Very little open dry sand; not great habitat. Take care with timing - steep sandy cliffs can trap surveyor when tide coming in, as beach is quite narrow for most of distance.",,2,2/1/2021 11:27:06 PM,,2/1/2021 11:27:06 PM,,0,0
41,f51e56c7-9739-4286-85aa-57cf39fb8456,E. Gaines,winter,bayocean_spit,1/23/2021 8:00:00 PM,09:00,11:45,0,0,0,0,0,,,0,,"No plovers seen, though we saw some tracks - not particularly fresh. ",,2,2/2/2021 1:08:50 AM,,2/2/2021 1:08:50 AM,,0,0
42,2b30b357-3396-4e00-8128-c912fc79cc61,M.Davis,winter,camp_rilea,1/25/2021 8:00:00 PM,11:40,13:00,0,0,0,0,0,,,,,"No WSP observed. Low recreation and predators compared to prior years, one vehicle, three sea gulls. Conspecifics included one Clark’s grebe and approximately 100 dunlins.",,2,2/2/2021 6:15:54 PM,,2/2/2021 6:15:54 PM,,0,0
43,7ebdc5e8-f640-4ef2-86c8-171c42fdc164,n.koeltzow,winter,euchre_creek_to_greggs_creek,1/19/2021 8:00:00 PM,13:07,15:09,0,0,0,0,0,,,0,,"We started at Lat: 42.54601  Lon: -124.39668 and walked North until Lat: 42.56123  Lon: -124.39177 which is about 0.08 miles.  Then drove to Ophir rest area to start at Lat: 42.53624  Lon: -124.40074 and walked North until we reached the first spot we started. We had the sun to our backs when walking North. It was sunny and 5 to 10 mile/hr wind. There were 4 people, 2 dogs, and 2 common ravens during the survey on the beach at the Ophir rest area.",,2,2/3/2021 4:13:46 AM,,2/3/2021 4:13:46 AM,,0,0
44,ce8863a3-b4b5-4ebb-8420-7f7c6e15783d,S. Langley,winter,blacklock_point_to_cape_blanco_,1/19/2021 8:00:00 PM,09:09,10:08,0,0,0,0,0,,,0,,"No sign of snowy plover. However potential predator tracks in the sand were present, such as raccoons, dogs, and possibly bobcat.",,2,2/4/2021 5:55:51 AM,,2/4/2021 5:55:51 AM,,0,0
45,49812851-aef9-487d-84af-cf27fc2a5e4c,E. Krygsman,winter,sutton_creek_to_siuslaw_river_n,1/16/2021 8:00:00 PM,12:07,13:00,0,0,0,0,0,,,,,"No birds observed, but found fresh snowy plover tracks near north jetty--high on wide section of beach above large amount of intertidal large wood debris. High visitor traffic: ~160 pedestrian, 21 dog. Weather: clear, 60+ F, <5 mph NNE",,2,2/4/2021 5:44:30 PM,,2/4/2021 5:44:30 PM,,0,0
46,6b289661-ccd9-4465-8c5f-bc2c79c98e84,M. Vander Heyden,winter,elk_river,1/17/2021 8:00:00 PM,09:00,11:00,0,0,0,0,0,,,0,,Habitat was much changed due to recent winter storms.  Huge amount of logs on beach and river had breached in several locations.  ,,2,2/8/2021 9:45:54 PM,,2/8/2021 9:45:54 PM,,0,0
47,51c4691a-0240-4b45-837b-9641fefe791f,M. Vander Heyden,winter,cape_blanco_access_to_elk_river,1/18/2021 8:00:00 PM,10:10,11:00,0,0,0,0,0,,,0,,"Little habitat - I've said this before, but I think this route could be eliminated.  The beach is narrow and backed by grass-covered bluffs.  There is little area available for plovers to forage much less nest.  Also the Elk River is moving north, so the route is becoming shorter.",,2,2/8/2021 9:53:15 PM,,2/8/2021 9:53:15 PM,,0,0
48,c8e0f6fe-7bd8-4e8a-81d6-a4a4f8342e64,"Holzman, Steve",breeding,south_beach_newport,5/16/2021 7:00:00 PM,08:45,09:51,0,0,0,0,0,,,,,,,2,5/16/2021 4:51:46 PM,,5/16/2021 4:51:46 PM,,0,0
50,7ddcd545-81cc-45b3-8eaa-23a53cbdc927,"SHolzman, JStephenson, RHolzman",breeding,yaquina_point,5/16/2021 7:00:00 PM,10:00,11:00,4,0,0,0,4,flying,,0,"Bird 1: wgw:o
Bird 2: rw:v (possibly - see photo)
",second photo submitted to Cheryl's email.,,2,5/17/2021 12:55:06 PM,,5/17/2021 12:55:06 PM,,0,0
51,7004aa6f-858a-4f5a-8e39-8b4b03f8b77e,R. Lowe,breeding,south_alsea_bay,5/17/2021 7:00:00 PM,13:56,14:31,0,0,0,0,0,,,,,Survey area covered 1.5 miles.  No evidence of plover activity along this stretch.,,2,5/17/2021 11:38:14 PM,,5/17/2021 11:38:14 PM,,0,0
52,6d43c552-547a-4b77-81fe-d8c6411a7f75,R. Lowe,breeding,bayshore_spit,5/16/2021 7:00:00 PM,08:50,13:17,3,3,2,0,8,flying,,1,"WV:Y, X:RO, OW:B","Bayshore Spit survey from Access 67B to Alsea Bay conducted 08:50 to 09:53 covering 2.1 miles finding 3 snowy plovers.  Quail Street to Bayshore Access 66C conducted 11:58 to 13:17 covering 2.7 miles and finding 1 nest and 5 snowy plovers.

Note on mapping, the survey was not conducted between Access 67B and Access 66C.",,2,5/17/2021 11:53:36 PM,,5/17/2021 11:53:36 PM,,0,0
53,401c9ec4-e1cd-4ee1-8dcf-c3983f038366,C. Strong,breeding,euchre_creek_to_greggs_creek,5/18/2021 7:00:00 PM,12:01,03:05,0,0,0,0,0,,,,,Wider beach but very smooth.  Not a lot of topography,,2,5/19/2021 2:04:48 AM,,5/19/2021 2:04:48 AM,,0,0
54,e73456ee-02a5-4d68-8883-d27a847f3abc,D. Leal,breeding,nestucca_spit,5/17/2021 7:00:00 PM,09:10,10:50,0,0,0,0,0,,,,,No SNPL observed.  Vehicle tracks along beach mostly just above the wrack line.  Beach east of vehicle tracks gets pretty steep. Also horse and coyote tracks present.,,2,5/19/2021 3:35:09 PM,,5/19/2021 3:35:09 PM,,0,0
55,654697e4-50d0-49b2-8671-41c74b985d9a,C. Strong,breeding,blacklock_point_to_cape_blanco_,5/18/2021 7:00:00 PM,08:15,09:15,0,0,0,0,0,,,,,no habitat here- beach is narrow and covered at high tide. did not hike down to the beach. can see across Sixes River a little distance. No visible habitat either side. ,,2,5/19/2021 5:03:18 PM,,5/19/2021 5:03:18 PM,,0,0
56,d7d20cd9-3dd0-4012-815d-367627d98f96,S. Love and D. Rocco,breeding,whiskey_run_to_coquille_river,5/18/2021 7:00:00 PM,08:15,10:30,0,0,0,0,0,,,,,"No Western snowy plovers were observed on this survey.  Shorebird abundance, in general, was low as well.  The overall low abundance of shorebirds, including Western snowy plovers, may have been due, in part, to the large number of beach combers with dogs seen along much of the survey route.",,2,5/19/2021 9:01:43 PM,,5/19/2021 9:01:43 PM,,0,0
57,b842296f-936e-4564-8441-0cbe7966513c,E. Gaines,breeding,bayocean_spit,5/19/2021 7:00:00 PM,09:30,12:30,2,1,1,0,4,flying,,1,a/w/a:o,"1 male banded (a/w/a:o). Other three unbanded. 
90% certain a female was on a nest. We watched her sit without moving for several minutes, but we did not want to disturb her to confirm nesting. 
2 males exhibited territorial behavior towards each other. 
Birds were located at approximately  N45 degrees 33' 34.6"", W 123 degrees 57' 05.1"". ",,2,5/20/2021 3:32:21 AM,,5/20/2021 3:32:21 AM,,0,0
58,4559f59f-a286-49e7-85cd-46047434b266,C. Horton,breeding,agate_beach,5/20/2021 7:00:00 PM,06:10,07:45,2,2,0,0,4,,,1,All four snowy plover were unbanded. ,"One pair was observed near a fresh scrape. The second pair included a female incubating a 3 egg nest, and a male near the wrack line.",,2,5/20/2021 3:32:37 PM,,5/20/2021 3:32:37 PM,,0,0
59,18baf7cb-07dd-4c0f-8eb7-08e30c2f7aca,J. Badger,breeding,crissey_field_to_pelican_state_,5/18/2021 7:00:00 PM,09:00,11:30,0,0,0,0,0,,,,,There was a lot of human and dog activity on the beach.,,2,5/20/2021 6:39:22 PM,,5/20/2021 6:39:22 PM,,0,0
60,839c533b-a234-4f79-8c5b-7abb4c633924,S. Riemer,breeding,myers_creek_to_pistol_river,5/19/2021 7:00:00 PM,10:15,12:15,0,0,0,0,0,,,,,It was very windy and there were a lot of people with dogs. Also there were a lot of river otter tracks all around in the fore-dune area.,,2,5/20/2021 6:45:40 PM,,5/20/2021 6:45:40 PM,,0,0
61,eae6ce24-f2b3-4667-85da-fd3b681a3e3e,J. Badger,breeding,otter_point_to_rogue_river,5/20/2021 7:00:00 PM,08:00,11:15,1,0,1,0,2,flying,,,,"There was a lot of human and canine activity. Additionally, the entire northern half of the survey area was littered with fox and river otter tracks all over the beach and the fore-dune area.",,2,5/20/2021 6:49:46 PM,,5/20/2021 6:49:46 PM,,0,0
62,1994779c-4869-4f8e-8d77-a3073d7741fc,"P. Schmidt, K. Sclafani",breeding,fort_stevens_state_park_clatsop,5/21/2021 7:00:00 PM,10:02,12:20,5,5,1,0,11,nesting,,3,"Bird 1 (female): AB:RO
Bird 2 (male): OR:YY
Bird 3 (female): ABR:RR

also reported by Audubon volunteer: LRL:R female, OV:AL female, OL:B male, VO:A female, YR:Y (unknown) GB:OR (unknown)","End point and starting point switched in geopoint questions below.

One pair was actively scraping.

North wind creating a lot of sand movement throughout site.

One streaked horned lark observed (yay!)",,2,5/21/2021 8:03:42 PM,,7/21/2021 10:02:16 PM,cheryl_strong@fws.gov_fws,0,0
63,d2ab4576-90b5-45c7-8d8c-d0df487c35ea,L. Bowen,breeding,salmon_river_spit,5/20/2021 7:00:00 PM,07:15,09:34,0,0,0,0,0,,,0,,,,2,5/24/2021 3:13:00 PM,,5/24/2021 3:13:00 PM,,0,0
64,50a7e473-8b89-4ae9-8be2-da5bcbe5a7a7,Mike J Szumski,breeding,salishan_spit,5/18/2021 7:00:00 PM,13:00,13:45,0,0,0,0,0,,,,,,,2,5/24/2021 6:08:57 PM,,5/24/2021 6:08:57 PM,,0,0
66,3fceaef3-e60a-4a8e-8c8b-38aa19b572e6,Cyndie V Sundstrom,breeding,midway_beach,5/18/2021 7:00:00 PM,07:30,11:00,19,10,0,0,29,walking,,0,"Y/O:O male
G/Y:N female (raw blood from L side vent area)
R/L/R:K male
S:Y female
L/Y:O male
O/R/O:Y male
Y/W:Y female
RV:GW male
R/B:B male
P/B/P:R female
G/L:Y male",,,2,5/24/2021 8:00:16 PM,,5/24/2021 8:00:16 PM,,0,0
67,8245bc0b-5508-43b3-8a95-e8db262dcf93,Cyndie V Sundstrom,breeding,graveyard_spit,5/19/2021 7:00:00 PM,06:30,11:00,12,13,10,0,35,nesting,,4,"BR:RY female
B/Y/B:K male
V/W/V:G female
R/G:R female
B/W/B:K male
Y/O:W female
",this season we have included one area to the north of the spit (8 birds total) that is not accessible without boating across the slough but can see from the south side of the slough; also have extended the usual and customary 'end' location on the spit to now include the entire spit.,,2,5/24/2021 8:08:32 PM,,5/24/2021 8:08:32 PM,,0,0
